"cloze_word","source","source_cloze","target","hint","freq","score","audio_file"
"gedicht","tom lernt ein gedicht auswendig.","tom lernt ein {{1::gedicht}} auswendig.","tom is memorizing a poem.","First 2 letters: ge...","107","0.48126903553299494",""
"telefonnummer","tom wählt eine telefonnummer.","tom wählt eine {{1::telefonnummer}}.","tom is dialling a number.","First 3 letters: tel...","182","0.4515673981191223",""
"nummer","tom wählt eine nummer.","tom wählt eine {{1::nummer}}.","tom is dialling a number.","First 2 letters: nu...","164","0.45148367952522256",""
"gitarre","tom kann gut gitarre spielen.","tom kann gut {{1::gitarre}} spielen.","tom is a good guitarist.","First 2 letters: gi...","230","0.48184501845018446",""
"langsamer","tom ist ein langsamer esser.","tom ist ein {{1::langsamer}} esser.","tom is a slow eater.","First 3 letters: lan...","103","0.48125628140703514",""
"polizist","tom ist polizist im ruhestand.","tom ist {{1::polizist}} im ruhestand.","tom is a retired policeman.","First 2 letters: po...","158","0.4814577259475219",""
"bloß","tom ist bloß ein kind.","tom ist {{1::bloß}} ein kind.","tom is a mere child.","First 1 letter: b...","241","0.42192307692307696",""
"zweiten","tom ist jetzt im zweiten studienjahr.","tom ist jetzt im {{1::zweiten}} studienjahr.","tom is now a sophomore.","First 2 letters: zw...","136","0.4680365296803653",""
"tatsächlich","ist tom tatsächlich lehrer?","ist tom {{1::tatsächlich}} lehrer?","is tom really a teacher?","First 3 letters: tat...","136","0.5013698630136987",""
"stellt","tom stellt eine frage.","tom {{1::stellt}} eine frage.","tom is asking a question.","First 2 letters: st...","166","0.45149253731343286",""
"bißchen","tom ist ein bißchen ungeduldig.","tom ist ein {{1::bißchen}} ungeduldig.","tom is a bit impatient.","First 2 letters: bi...","136","0.48136986301369866",""
"könig","tom lebt wie ein könig.","tom lebt wie ein {{1::könig}}.","tom lives like a king.","First 2 letters: kö...","171","0.4415151515151515",""
"erst","tom kam erst um halb drei.","tom kam {{1::erst}} um halb drei.","tom didn't come until 2:30.","First 1 letter: e...","592","0.4120430107526881",""
"erst","tom kam erst um 2.30 uhr.","tom kam {{1::erst}} um 2.30 uhr.","tom didn't come until 2:30.","First 1 letter: e...","592","0.42537634408602154",""
"schwarzen","tom hat einen schwarzen hund.","tom hat einen {{1::schwarzen}} hund.","tom has a black dog.","First 3 letters: sch...","104","0.48125944584382874",""
"kleinen","tom hat einen kleinen penis.","tom hat einen {{1::kleinen}} penis.","tom has a small penis.","First 2 letters: kl...","316","0.48270270270270277",""
"stift","tom holte einen stift heraus.","tom holte einen {{1::stift}} heraus.","tom pulled out a pen.","First 2 letters: st...","117","0.48130208333333335",""
"zuhause","tom hat kein zuhause.","tom hat kein {{1::zuhause}}.","tom doesn't have a home.","First 2 letters: zu...","211","0.4517241379310345",""
"beigebracht","tom hat mir viel beigebracht.","tom hat mir viel {{1::beigebracht}}.","tom taught me a lot.","First 3 letters: bei...","147","0.4414124293785311",""
"dies","tom tat dies oft.","tom tat {{1::dies}} oft.","tom did that a lot.","First 1 letter: d...","873","0.44133689839572193",""
"unbedingt","tom möchte unbedingt einen hund.","tom möchte {{1::unbedingt}} einen hund.","tom really wants a dog.","First 3 letters: unb...","226","0.4818181818181818",""
"euch","tom hat euch sehr lieb.","tom hat {{1::euch}} sehr lieb.","tom loves you a lot.","First 1 letter: e...","5206","0.42010622477161674",""
"schwarzen","tom hat einen schwarzen kater.","tom hat einen {{1::schwarzen}} kater.","tom has a black cat.","First 3 letters: sch...","104","0.48125944584382874",""
"wand","tom hat die wand weiß gestrichen.","tom hat die {{1::wand}} weiß gestrichen.","tom painted the wall white.","First 1 letter: w...","184","0.44157728706624605",""
"führt","tom führt ein traumtagebuch.","tom {{1::führt}} ein traumtagebuch.","tom keeps a dream diary.","First 2 letters: fü...","240","0.45191570881226056",""
"schwarzen","tom fährt einen schwarzen wagen.","tom fährt einen {{1::schwarzen}} wagen.","tom drives a black car.","First 3 letters: sch...","104","0.48125944584382874",""
"langen","tom hat einen langen hals.","tom hat einen {{1::langen}} hals.","tom has a long neck.","First 2 letters: la...","113","0.4812886597938144",""
"stift","tom nahm einen stift in die hand.","tom nahm einen {{1::stift}} in die hand.","tom picked up a pencil.","First 2 letters: st...","117","0.487016369047619",""
"schönen","tom hatte einen schönen traum.","tom hatte einen {{1::schönen}} traum.","tom had a pleasant dream.","First 2 letters: sc...","172","0.4815197568389058",""
"wie","tom sah aus wie ein arzt.","tom sah aus {{1::wie}} ein arzt.","tom looked like a doctor.","First 1 letter: w...","14349","0.3800361010830325",""
"sofa","tom saß auf dem sofa.","tom saß auf dem {{1::sofa}}.","tom sat on the couch.","First 1 letter: s...","187","0.38159235668789804",""
"bahnhof","bringe tom zum bahnhof!","bringe tom zum {{1::bahnhof}}!","take tom to the station.","First 2 letters: ba...","505","0.5333333333333333",""
"bahnhof","tom ging zum bahnhof.","tom ging zum {{1::bahnhof}}.","tom went to the station.","First 2 letters: ba...","505","0.5333333333333333",""
"schöne","tom hat eine schöne kamera.","tom hat eine {{1::schöne}} kamera.","tom has a nice camera.","First 2 letters: sc...","429","0.4869444444444444",""
"schönen","tom hat einen schönen fotoapparat.","tom hat einen {{1::schönen}} fotoapparat.","tom has a nice camera.","First 2 letters: sc...","172","0.4815197568389058",""
"eilig","tom aß eilig zu mittag.","tom aß {{1::eilig}} zu mittag.","tom ate a quick lunch.","First 2 letters: ei...","137","0.48137362637362635",""
"doch","setz dich doch, tom!","setz dich {{1::doch}}, tom!","please have a seat, tom.","First 1 letter: d...","1905","0.4403556187766714",""
